Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7366926898509581,0.5025380710659898,0.7941176470588235,0.6155440414507772,0.8428401663695781
Decision Tree,0.7324343506032647,0.49750415973377704,0.7994652406417112,0.6133333333333333,0.821842465576481
Random Forest,0.759403832505323,0.532347504621072,0.7700534759358288,0.6295081967213115,0.8438812679221886
XGBoost,0.759403832505323,0.5374732334047109,0.6711229946524064,0.5969084423305588,0.8224844351442817
XGBoost (Tuned),0.7423704755145494,0.5093378607809848,0.8021390374331551,0.6230529595015576,0.8458859696711358
